loss,val_loss
30017042432.0,35015303168.0
29976072192.0,33682202624.0
29969577984.0,33697681408.0
29951123456.0,34109419520.0
29903497216.0,34689032192.0
29941358592.0,35054190592.0
29900863488.0,33780633600.0
29921366016.0,34008242176.0
29936635904.0,34553860096.0
29895587840.0,34070323200.0
29874188288.0,33469556736.0
29893941248.0,33853704192.0
29884092416.0,33892122624.0
29850402816.0,34423054336.0
29798752256.0,35313106944.0
29816164352.0,33771724800.0
29831579648.0,34148677632.0
29832335360.0,33571192832.0
29789917184.0,34677432320.0
29807937536.0,33680920576.0
29794191360.0,34126592000.0
29777106944.0,34041833472.0
29740331008.0,34357143552.0
29734371328.0,33111234560.0
29784424448.0,34636976128.0
29768331264.0,33652264960.0
29690959872.0,34979409920.0
29731469312.0,34444386304.0
29700577280.0,33421088768.0
29700159488.0,34485563392.0
29684142080.0,34337710080.0
29672620032.0,33066786816.0
29644793856.0,33892114432.0
29649932288.0,33625595904.0
29664137216.0,34554970112.0
29588455424.0,35252355072.0
29621807104.0,34438963200.0
29598953472.0,33873436672.0
29606866944.0,33641658368.0
29571180544.0,34324580352.0
29574541312.0,33959581696.0
29599807488.0,34740465664.0
29572216832.0,33570011136.0
29534849024.0,33868173312.0
29509713920.0,33406697472.0
29521541120.0,33776687104.0
29504110592.0,33927090176.0
29474447360.0,34369839104.0
29552087040.0,33526925312.0
29510113280.0,33574289408.0
29459660800.0,33945018368.0
29436028928.0,33304369152.0
29491812352.0,34978410496.0
29420449792.0,34189402112.0
29433769984.0,34472173568.0
29382617088.0,33568653312.0
29350471680.0,34230996992.0
29373927424.0,33414139904.0
29367154688.0,33813737472.0
29325545472.0,32872955904.0
29374455808.0,35217801216.0
29307172864.0,33918294016.0
29298202624.0,34294882304.0
29298479104.0,35537108992.0
29283104768.0,35160895488.0
29302345728.0,34151936000.0
29216225280.0,34100709376.0
29215272960.0,33264517120.0
29230282752.0,34085013504.0
29160552448.0,33945049088.0
29197584384.0,34009589760.0
29192261632.0,34147651584.0
29159563264.0,33791959040.0
